"","R","G","B","H","S","V","Pixel","Berat","Class"
"194",116,38,18,114,237,113,17313,45,"Setengah Matang"
"177.1",137,72,22,106,236,129,16020,52,"Setengah Matang"
"219",169,77,23,109,232,169,17412,26,"Belum Matang"
"160",168,73,22,110,235,168,17082,30,"Belum Matang"
"52",135.103600494564,60.0698027200997,16.2072009891272,108.344599258155,240.896399505436,131.448199752718,14845.0102016442,30.9662022255361,"Belum Matang"
"72",151.476094522513,87.7670033758041,16.8350168790203,103.301010127412,240.397979745176,150.777104649926,12395.2949650458,26.6989898725878,"Belum Matang"
"421",162.705232093809,106.547531307908,19.1252763401717,99.8282977126073,240.171702287393,163.002210721374,14153.1532777464,26.7030213724356,"Belum Matang"
"71",134,45,19,113,238,131,16104,27,"Setengah Matang"
"253",111,61,11,105,245,108,11331,36,"Belum Matang"
"66.1",128,45,18,113,236,127,18570,27,"Setengah Matang"
"205",128,43,20,114,233,120,21909,62,"Setengah Matang"
"144.3",160,63,20,111,238,161,18816,35,"Setengah Matang"
"242",173,107,24,103,234,175,21186,36,"Belum Matang"
"239.1",110,44,12,110,242,111,13779,40,"Setengah Matang"
"481",159.099781051278,80.5623631570488,20.7687089471146,107,236.371881842148,160.215426577721,15214.2856681659,30,"Belum Matang"
"170",139,63,17,108,237,135,20958,52,"Setengah Matang"
"178.1",167,86,24,107,236,168,18519,52,"Setengah Matang"
"13",137,58,19,110,239,137,16047,35,"Belum Matang"
"1510",162.032879705541,101.021919803694,18.5054799509235,101.997808019631,241.993424058892,161.536167676095,13704.837747064,27.4967120294459,"Belum Matang"
"178",167,86,24,107,236,168,18519,52,"Setengah Matang"
"196",114,40,17,113,236,111,20202,62,"Setengah Matang"
"411",135.808007534593,83.3699952908792,14.4520018836483,102.69400219759,243.547998116352,133.776008790359,11421.1504944577,29.2420003139414,"Belum Matang"
"4",101,34,13,113,242,98,13026,35,"Belum Matang"
"247",156,79,23,107,234,156,17625,36,"Belum Matang"
"40",147,89,18,103,244,145,12906,29,"Belum Matang"
"43",125,108,16,94,244,118,13371,29,"Belum Matang"
"51",164.303057771642,82.5107030915096,22.0119265564717,107.658715629019,236.878287505358,164.083485895302,14926.2944846093,30.548929690849,"Belum Matang"
"65.1",180,72,33,111,227,183,22842,27,"Setengah Matang"
"131",142.409891971387,77.733229193138,17.6024729928467,105.217310949927,240.987635035766,141.012364964234,13537.8112471411,33.2173109499272,"Belum Matang"
"15",134,46,15,112,242,131,15579,35,"Belum Matang"
"229",122,66,12,104,246,118,13107,40,"Setengah Matang"
"311",143.947934858035,91.1800465299748,17.563990694005,102.12798138801,244,141.947934858035,12415.4895307557,29,"Belum Matang"
"186.1",164,65,33,112,220,167,25044,45,"Setengah Matang"
"551",144.862383930245,92.8212402593344,18.0314147730824,101.884069805499,242.968585226918,143.157073865412,12150.5411786987,28.5579650972504,"Belum Matang"
"191.1",172,68,35,112,220,175,26325,45,"Setengah Matang"
"331",168.884986719349,76.7366105928086,21.9016681422945,109.115013280651,235.393327430822,168.983318577055,16854.5584131272,29.606672569178,"Belum Matang"
"121",155.248041736428,81.2932985529769,20.3884537192062,106.082680578809,238.070205991389,155.789382025832,17051.7397602252,34.9297940086108,"Belum Matang"
"10",126,45,16,112,238,123,16020,35,"Belum Matang"
"168.2",122,55,14,108,241,115,16572,52,"Setengah Matang"
"239",110,44,12,110,242,111,13779,40,"Setengah Matang"
"561",166.958984533325,94,20.4785786494613,104.478578649461,237.912487363443,170.176852507517,13442.8909497801,26.391066012904,"Belum Matang"
"178.2",167,86,24,107,236,168,18519,52,"Setengah Matang"
"34",123,105,14,94,243,120,13818,29,"Belum Matang"
"501",154.396801725728,94.2932882320601,21,102.965495502111,236.051756746834,155.396801725728,17216.0419001277,35.8274775105529,"Belum Matang"
"49.1",181,88,29,108,231,181,31419,56,"Setengah Matang"
"277",138,48,17,112,239,136,15753,39,"Setengah Matang"
"401",140.156617372297,91.494122043252,17.0783086861484,101.626469489187,243.53014788311,138.626469489187,12197.9937537401,29.4698521168903,"Belum Matang"
"101",158.460954280803,94.1160518454853,18.8318871955853,102.840564022074,241.663774391171,159.2841646499,12936.3644607347,27.5130152397323,"Belum Matang"
"249",138,77,17,104,242,129,13530,36,"Belum Matang"
"144",160,63,20,111,238,161,18816,35,"Setengah Matang"
"224",163,100,19,102,242,165,11964,26,"Belum Matang"
"391",161.059016800253,104.071703687077,18.8312188521959,101,242.168781147804,162.721454504644,12094.1384237255,26.2531717217062,"Belum Matang"
"55.1",137,58,18,110,237,134,27039,56,"Setengah Matang"
"246",158,79,21,107,237,159,18003,36,"Belum Matang"
"141",129.653195413295,93.9360917340964,13.3468045867048,98.9191724797711,244.30639082659,126.30639082659,11961.8065914614,29,"Belum Matang"
"183",131,48,20,113,233,128,20046,45,"Setengah Matang"
